Code,Description,Default_Translation (en-en),Target_Translation (de-de),Has_Translation
I18N__ADD_OPTION,I18NCode for Add Option,Add option,Option hinzufügen,Yes
I18N__ALL_USERS_ARE_ALREADY_IN_THE_GROUP,I18NCode for All users are already in the group.,All users are already in the group,Alle Benutzer sind bereits in der Gruppe,Yes
I18N__ANSWER_OF_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for answer of Is Reporting2You GDPR compliant,"Since 25 May the RGPD has entered into force and we all have to respect. DEEPEYE, the company of Reporting2You, has implemented all the procedures to guarantee the fulfillment of its obligations, hiring competent entities for this purpose.<br/>
Please watch this video to understand what we have done and the impact on the experience of members and directors.",Seit dem 25. Mai ist die DSGVO in Kraft getreten und wir alle müssen sie respektieren.,Yes
I18N__ASK_THE_GROUP_OR_MEMBER_SOMETHING,i18NCode for  Ask the group or member something,Ask the member or group something,Fragen Sie das Mitglied oder die Gruppe etwas,Yes
I18N__DO_YOU_WANT_TO_LOG_OUT_,I18NCode for  Do you want to log out?,Do you want to logout?,Möchten Sie sich abmelden?,Yes
I18N__MECHANISM_S__AVAILABLE_FOR_IMPLEMENTATION,"I18NCode for 
mechanism(s) available for implementation",Mechanism(s) available for implementation,Für die Implementierung verfügbare Mechanismen,Yes
I18N__MEMBER_SUCCESSFULLY_REMOVED_FROM_THE_GROUP,I18NCode for Member successfully removed from the group,Member successfuly removed from the group,Mitglied wurde erfolgreich aus der Gruppe entfernt,Yes
I18N__NO_NEW_MEMBERS_IN_THE_LAST,I18NCode for No New Members in the Last,No new members in the last,Keine neuen Mitglieder im letzten,Yes
I18N__SEARCH_THE_ENTIRE_REPORTING2YOU_NETWORK,I18NCode for Search the entire reporting2you network,Search the entire reporting2you network,Durchsuchen Sie das gesamte reporting2you-Netzwerk,Yes
I18N__SELECT_MORE_THAN_ONE_CONTACT,I18NCode for Select more than one contact,Select more than one contact,Wählen Sie mehr als einen Kontakt aus,Yes
I18N_1_2_1,1 2 1,1-2-1,1-2-1,Yes
I18N_1_2_1_IS_REQUIRED,I18NCode for 1-2-1 is required,121 is required,121 ist erforderlich,Yes
I18N_12_MONTH_AVERAGE,I18NCode for 12 Month average,12 Month average,12-Monats-Durchschnitt,Yes
I18N_12_MONTHS,I18NCode for 12 months,12 months,12 Monate,Yes
I18N_12_MONTHS_DOTS,I18NCode for 12 months with :,12 months:,12 Monate:,Yes
I18N_121,I18NCode for 121,121,121,Yes
I18N_12MONTHS,I18NCode for Year / 12 Months ,12 Months,12 Monate,Yes
I18N_15_DAYS,I18NCode for 15 Days,15 days,15 Tage,Yes
I18N_1ST_YEAR_RETENTION,,1st Year Retention,Aufbewahrung im ersten Jahr,Yes
I18N_3_PLUS_1,Indicate the 3+1 Menu Option,3+1,3+1,Yes
I18N_3_PLUS_1_EVOLUTION,I18NCode for 3 + 1 Evolution,3 + 1 Evolution,3 + 1 Entwicklung,Yes
I18N_3PLUS1LAST_MONTH,I18NCode Title for 3 + 1 - Last Month,3 + 1 - Last Month,3 + 1 – Letzter Monat,Yes
I18N_4_WEEKS,I18NCode for 4 weeks,4 weeks,4 Wochen,Yes
I18N_45_DAYS,I18NCode for 45 days,45 days,45 Tage,Yes
I18N_6_MONTHS,I18NCode for 6 months,6 months,6 Monate,Yes
I18N_7_MONTHS_ANALYSIS_TASKS,I18NCode for 7 Months Analysis Tasks,7 Months Analysis Tasks,7 Monate Analyseaufgaben,Yes
I18N_7_MONTHS_ANALYSIS_TASKS_DESCRIPTION,I18NCode for 7 Months Analysis Tasks Description,Activate tasks for the 7 month analysis,Aktivieren Sie Aufgaben für die 7-Monats-Analyse,Yes
I18N_8_VECTOR_OF_SUCCESS,I18NCode 8 vector of Success,8 Vector of Success,8 Vektor des Erfolgs,Yes
I18N_8_WEEKS,I18NCode for 8 weeks,8 weeks,8 Wochen,Yes
I18N_A,I18NCode for A,A,A,Yes
I18N_ABBREVIATED_SIZE,I18NCode for Abbreviated Size,Size,Größe,Yes
I18N_ABBREVIATION,I18NCode for Abbreviation,Abbreviation,Abkürzung,Yes
I18N_ABS,I18NCode for ABS shortName,ABS.,ABS.,Yes
I18N_ABSENCE,I18NCode for Absence,Absence,Abwesenheit,Yes
I18N_ABSENCE_IS_REQUIRED,I18NCode for Absence is required,Absence is required,Abwesenheit ist erforderlich,Yes
I18N_AC,I18NCode for #AC,#AC,#AC,Yes
I18N_AC_NONEWMEMBERS_45_DAYS,I18NCode for Active Chapters with no New Members in the last 45 days,Active Chapters with no New Members in the last 45 days,Aktive Kapitel ohne neue Mitglieder in den letzten 45 Tagen,Yes
I18N_ACCOUNT_CREATED_SUCCESSFULLY,I18NCode for Account Created Successfully,Account created successfully,Konto erfolgreich erstellt,Yes
I18N_ACTION,I18NCode for Action (Url),Action,Aktion,Yes
I18N_ACTIONS,,Actions,Aktionen,Yes
I18N_ACTIVATION_DATE,I18NCode for task's activation date,Activation Date,Aktivierungsdatum,Yes
I18N_ACTIVE,I18NCode for Active,Active,Aktiv,Yes
I18N_ACTIVE_CHAPTER,I18NCode for Active Chapter Caption,Active Chapters,Aktive Kapitel,Yes
I18N_ACTIVE_CHAPTER_NO_NEW_MEMBER,I18NCode for Active Chapter No New Member,Active Chapter No New Member,Aktives Kapitel Kein neues Mitglied,Yes
I18N_ACTIVE_CHAPTERS,I18NCode for Active Chapters,Active,Aktiv,Yes
I18N_ACTIVE_CHAPTERS_IS_REQUIRED,I18NCode for Active chapters is required,Active chapers is required,Aktive Begleitpersonen sind erforderlich,Yes
I18N_ACTIVE_MEMBERS,I18NCode for Active Members,Active Members,Aktive Mitglieder,Yes
I18N_ACTIVE_MEMBERS_IS_REQUIRED,I18NCode for Active members is required,Active members is required,Aktive Mitglieder sind erforderlich,Yes
I18N_ACTIVE_MEMBERSHIP,I18NCode for Active Membership,Active Membership,Aktive Mitgliedschaft,Yes
I18N_ACTIVE_TASKS,I18NCode for Active Tasks,Activate Tasks,Aufgaben aktivieren,Yes
I18N_ACTIVE_TASKS_DESCRIPTION,I18NCode for Active Tasks Description,Activate tasks in the system,Aufgaben im System aktivieren,Yes
I18N_ACTIVE_ZERO_TO_ONE,I18NCode for Active Zero To One,Activate Zero-to-Ones,Aktivieren Sie Null-zu-Eins,Yes
I18N_ACTIVE_ZERO_TO_ONE_DESCRIPTION,I18NCode for Active Zero To One Description,Activate Zero-to-One's in the system,Aktivieren Sie Zero-to-One's im System,Yes
I18N_ACTIVITIES,I18NCode for Activities,Activities,Aktivitäten,Yes
I18N_ACTUAL_VS_PREVIOUS,I18NCode for Actual vs Previous,Current vs previous,Aktuelle vs. vorherige,Yes
I18N_AD,I18NCode for AD,AD,ANZEIGE,Yes
I18N_ADD_A_PROFILE_PICTURE_TO_HELP_WITH_MEMBER_IDENTIFICATION,I18NCode for add a profile picture to help with member identification,add a profile picture to help with member identification,"Fügen Sie ein Profilbild hinzu, um die Identifizierung des Mitglieds zu erleichtern",Yes
I18N_ADD_AS,I18NCode for Add as,Add as,Hinzufügen als,Yes
I18N_ADD_BNI_GAME,I18NCode for Bni Game,Add Bni Game,Bni-Spiel hinzufügen,Yes
I18N_ADD_CODEI18N,I18NCode to add a new I18NCode,Add Code,Code hinzufügen,Yes
I18N_ADD_CONTEXT,I18NCode to add a new context,Add Context,Kontext hinzufügen,Yes
I18N_ADD_DIRECTOR,I18NCode for Add Director in Users Page,Add Director,Kontext hinzufügen,Yes
I18N_ADD_GOAL,I18NCode for Add Goal,Add Goal,Ziel hinzufügen,Yes
I18N_ADD_KPI,I18NCode for Add Kpi,Add KPI,KPI hinzufügen,Yes
I18N_ADD_LANGUAGE,I18NCode to add a new language,Add Language,Sprache hinzufügen,Yes
I18N_ADD_MECHANISM,I18NCode for Add Mechanism,Add Mechanism,Mechanismus hinzufügen,Yes
I18N_ADD_MEMBER_TO_THE_GROUP,I18NCode for Add Member to the group,Add Member to the group,Mitglied zur Gruppe hinzufügen,Yes
I18N_ADD_MEMBERS_TO_FORM_THE_TEAM,I18NCode for Add members to form the team,Add members to form the team,"Fügen Sie Mitglieder hinzu, um das Team zu bilden",Yes
I18N_ADD_MODULE,I18NCode to add a new Module,Add Module,Modul hinzufügen,Yes
I18N_ADD_NEW_MENU,I18NCode for Add New Menu,Add Menu,Menü hinzufügen,Yes
I18N_ADD_NEW_REGISTRY,I18NCode for Add New Registry,Add New Registry,Neue Registrierung hinzufügen,Yes
I18N_ADD_PROFILE,I18NCode for Add Button in Profiles Page,Add Profile,Profil hinzufügen,Yes
I18N_ADD_TEAM,I18NCode for Add Team,Add Team,Team hinzufügen,Yes
I18N_ADDRESS,I18NCode for Address,Address,Adresse,Yes
I18N_ADDRESS_AND_ZIP_CODE,"I18NCode for Address and zip code
",Address and zip code,Adresse,Yes
I18N_ADMIN,I18NCode for admin,Admin,Adresse,Yes
I18N_ADVANCED_DASHBOARD,I18NCode for Advanced Dashboard,Advanced Dashboard,Adresse,Yes
I18N_ADVANCED_SEARCH,"i18NCode for Advanced search
",Advanced search,Adresse,Yes
I18N_ALERT,I18NCode for Alert,Alert,Adresse,Yes
I18N_ALERT_REPORT,I18NCode for Alert Report,Alerts Report,Alarmbericht,Yes
I18N_ALERT_TYPE,I18NCode for Alert Type,Alert Type,Alarmbericht,Yes
I18N_ALERTS_LIST,I18Ncode for Alerts List,Alerts List,Alarmbericht,Yes
I18N_ALL,I18NCode for ALL ,All,Alle,Yes
I18N_ALL_CHAPTERS,I18NCode for All Chapters,All Chapters,Alle Kapitel,Yes
I18N_ALL_DDL,I18NCode for All on DDL,All,Alle,Yes
I18N_ALL_MEMBERS_ADDED,I18NCode for All Members Added ,All members have already been added to the team.,Alle Mitglieder wurden bereits zum Team hinzugefügt.,Yes
I18N_ALL_TRANSLATIONS,I18NCode for all translations label,All Translations,Alle Übersetzungen,Yes
