Code,Description,Default_Translation (en-en),Target_Translation (pl-pl),Has_Translation
I18N__ADD_OPTION,I18NCode for Add Option,Add option,Add option,Yes
I18N__ALL_USERS_ARE_ALREADY_IN_THE_GROUP,I18NCode for All users are already in the group.,All users are already in the group,All users are already in the group,Yes
I18N__ANSWER_OF_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for answer of Is Reporting2You GDPR compliant,"Since 25 May the RGPD has entered into force and we all have to respect. DEEPEYE, the company of Reporting2You, has implemented all the procedures to guarantee the fulfillment of its obligations, hiring competent entities for this purpose.<br/>
Please watch this video to understand what we have done and the impact on the experience of members and directors.","Since 25 May the RGPD has entered into force and we all have to respect. DEEPEYE, the company of Reporting2You, has implemented all the procedures to guarantee the fulfillment of its obligations, hiring competent entities for this purpose.<br/>
Please watch this video to understand what we have done and the impact on the experience of members and directors.",Yes
I18N__ASK_THE_GROUP_OR_MEMBER_SOMETHING,i18NCode for  Ask the group or member something,Ask the member or group something,Ask the member or group something,Yes
I18N__DO_YOU_WANT_TO_LOG_OUT_,I18NCode for  Do you want to log out?,Do you want to logout?,Do you want to logout?,Yes
I18N__MECHANISM_S__AVAILABLE_FOR_IMPLEMENTATION,"I18NCode for 
mechanism(s) available for implementation",Mechanism(s) available for implementation,Mechanism(s) available for implementation,Yes
I18N__MEMBER_SUCCESSFULLY_REMOVED_FROM_THE_GROUP,I18NCode for Member successfully removed from the group,Member successfuly removed from the group,Member successfuly removed from the group,Yes
I18N__NO_NEW_MEMBERS_IN_THE_LAST,I18NCode for No New Members in the Last,No new members in the last,No new members in the last,Yes
I18N__SEARCH_THE_ENTIRE_REPORTING2YOU_NETWORK,I18NCode for Search the entire reporting2you network,Search the entire reporting2you network,Search the entire reporting2you network,Yes
I18N__SELECT_MORE_THAN_ONE_CONTACT,I18NCode for Select more than one contact,Select more than one contact,Select more than one contact,Yes
I18N_1_2_1,1 2 1,1-2-1,1-2-1,Yes
I18N_1_2_1_IS_REQUIRED,I18NCode for 1-2-1 is required,121 is required,121 is required,Yes
I18N_12_MONTH_AVERAGE,I18NCode for 12 Month average,12 Month average,12 Month average,Yes
I18N_12_MONTHS,I18NCode for 12 months,12 months,12 months,Yes
I18N_12_MONTHS_DOTS,I18NCode for 12 months with :,12 months:,12 months:,Yes
I18N_121,I18NCode for 121,121,121,Yes
I18N_12MONTHS,I18NCode for Year / 12 Months ,12 Months,12 Months,Yes
I18N_15_DAYS,I18NCode for 15 Days,15 days,15 days,Yes
I18N_1ST_YEAR_RETENTION,,1st Year Retention,1st Year Retention,Yes
I18N_3_PLUS_1,Indicate the 3+1 Menu Option,3+1,3+1,Yes
I18N_3_PLUS_1_EVOLUTION,I18NCode for 3 + 1 Evolution,3 + 1 Evolution,3 + 1 Evolution,Yes
I18N_3PLUS1LAST_MONTH,I18NCode Title for 3 + 1 - Last Month,3 + 1 - Last Month,3 + 1 - Last Month,Yes
I18N_4_WEEKS,I18NCode for 4 weeks,4 weeks,4 weeks,Yes
I18N_45_DAYS,I18NCode for 45 days,45 days,45 days,Yes
I18N_6_MONTHS,I18NCode for 6 months,6 months,6 months,Yes
I18N_7_MONTHS_ANALYSIS_TASKS,I18NCode for 7 Months Analysis Tasks,7 Months Analysis Tasks,7 Months Analysis Tasks,Yes
I18N_7_MONTHS_ANALYSIS_TASKS_DESCRIPTION,I18NCode for 7 Months Analysis Tasks Description,Activate tasks for the 7 month analysis,Activate tasks for the 7 month analysis,Yes
I18N_8_VECTOR_OF_SUCCESS,I18NCode 8 vector of Success,8 Vector of Success,8 Vector of Success,Yes
I18N_8_WEEKS,I18NCode for 8 weeks,8 weeks,8 weeks,Yes
I18N_A,I18NCode for A,A,A,Yes
I18N_ABBREVIATED_SIZE,I18NCode for Abbreviated Size,Size,Size,Yes
I18N_ABBREVIATION,I18NCode for Abbreviation,Abbreviation,Abbreviation,Yes
I18N_ABS,I18NCode for ABS shortName,ABS.,ABS.,Yes
I18N_ABSENCE,I18NCode for Absence,Absence,Absence,Yes
I18N_ABSENCE_IS_REQUIRED,I18NCode for Absence is required,Absence is required,Absence is required,Yes
I18N_AC,I18NCode for #AC,#AC,#AC,Yes
I18N_AC_NONEWMEMBERS_45_DAYS,I18NCode for Active Chapters with no New Members in the last 45 days,Active Chapters with no New Members in the last 45 days,Active Chapters with no New Members in the last 45 days,Yes
I18N_ACCOUNT_CREATED_SUCCESSFULLY,I18NCode for Account Created Successfully,Account created successfully,Account created successfully,Yes
I18N_ACTION,I18NCode for Action (Url),Action,Action,Yes
I18N_ACTIONS,,Actions,Actions,Yes
I18N_ACTIVATION_DATE,I18NCode for task's activation date,Activation Date,Activation Date,Yes
I18N_ACTIVE,I18NCode for Active,Active,Active,Yes
I18N_ACTIVE_CHAPTER,I18NCode for Active Chapter Caption,Active Chapters,Active Chapters,Yes
I18N_ACTIVE_CHAPTER_NO_NEW_MEMBER,I18NCode for Active Chapter No New Member,Active Chapter No New Member,Active Chapter No New Member,Yes
I18N_ACTIVE_CHAPTERS,I18NCode for Active Chapters,Active,Active,Yes
I18N_ACTIVE_CHAPTERS_IS_REQUIRED,I18NCode for Active chapters is required,Active chapers is required,Active chapers is required,Yes
I18N_ACTIVE_MEMBERS,I18NCode for Active Members,Active Members,Active Members,Yes
I18N_ACTIVE_MEMBERS_IS_REQUIRED,I18NCode for Active members is required,Active members is required,Active members is required,Yes
I18N_ACTIVE_MEMBERSHIP,I18NCode for Active Membership,Active Membership,Active Membership,Yes
I18N_ACTIVE_TASKS,I18NCode for Active Tasks,Activate Tasks,Activate Tasks,Yes
