Code,Description,Default_Translation (en-en),Target_Translation (bg-bg),Has_Translation
I18N__ADD_OPTION,I18NCode for Add Option,Add option,Добавяне на опция,Yes
I18N__ALL_USERS_ARE_ALREADY_IN_THE_GROUP,I18NCode for All users are already in the group.,All users are already in the group,Всички потребители вече са в групата,Yes
I18N__ANSWER_OF_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for answer of Is Reporting2You GDPR compliant,"Since 25 May the RGPD has entered into force and we all have to respect. DEEPEYE, the company of Reporting2You, has implemented all the procedures to guarantee the fulfillment of its obligations, hiring competent entities for this purpose.<br/>
Please watch this video to understand what we have done and the impact on the experience of members and directors.",От 25 май RGPD влезе в сила и всички трябва да го спазваме.,Yes
I18N__ASK_THE_GROUP_OR_MEMBER_SOMETHING,i18NCode for  Ask the group or member something,Ask the member or group something,Попитайте члена или групата нещо,Yes
I18N__DO_YOU_WANT_TO_LOG_OUT_,I18NCode for  Do you want to log out?,Do you want to logout?,Искате ли да излезете?,Yes
I18N__MECHANISM_S__AVAILABLE_FOR_IMPLEMENTATION,"I18NCode for 
mechanism(s) available for implementation",Mechanism(s) available for implementation,Наличен(и) механизъм(и) за прилагане,Yes
I18N__MEMBER_SUCCESSFULLY_REMOVED_FROM_THE_GROUP,I18NCode for Member successfully removed from the group,Member successfuly removed from the group,Членът е премахнат успешно от групата,Yes
I18N__NO_NEW_MEMBERS_IN_THE_LAST,I18NCode for No New Members in the Last,No new members in the last,Няма нови членове в последния,Yes
I18N__SEARCH_THE_ENTIRE_REPORTING2YOU_NETWORK,I18NCode for Search the entire reporting2you network,Search the entire reporting2you network,Търсете в цялата мрежа reporting2you,Yes
I18N__SELECT_MORE_THAN_ONE_CONTACT,I18NCode for Select more than one contact,Select more than one contact,Изберете повече от един контакт,Yes
I18N_1_2_1,1 2 1,1-2-1,1-2-1,Yes
I18N_1_2_1_IS_REQUIRED,I18NCode for 1-2-1 is required,121 is required,1-2-1,Yes
I18N_12_MONTH_AVERAGE,I18NCode for 12 Month average,12 Month average,Средно за 12 месеца,Yes
I18N_12_MONTHS,I18NCode for 12 months,12 months,12 месеца,Yes
I18N_12_MONTHS_DOTS,I18NCode for 12 months with :,12 months:,12 месеца:,Yes
I18N_121,I18NCode for 121,121,121,Yes
I18N_12MONTHS,I18NCode for Year / 12 Months ,12 Months,12 месеца,Yes
I18N_15_DAYS,I18NCode for 15 Days,15 days,15 дни,Yes
I18N_1ST_YEAR_RETENTION,,1st Year Retention,1-ва година задържане,Yes
I18N_3_PLUS_1,Indicate the 3+1 Menu Option,3+1,3+1,Yes
I18N_3_PLUS_1_EVOLUTION,I18NCode for 3 + 1 Evolution,3 + 1 Evolution,3 + 1 Еволюция,Yes
I18N_3PLUS1LAST_MONTH,I18NCode Title for 3 + 1 - Last Month,3 + 1 - Last Month,3 + 1 - миналия месец,Yes
I18N_4_WEEKS,I18NCode for 4 weeks,4 weeks,4 седмици,Yes
I18N_45_DAYS,I18NCode for 45 days,45 days,45 дни,Yes
I18N_6_MONTHS,I18NCode for 6 months,6 months,6 месеца,Yes
I18N_7_MONTHS_ANALYSIS_TASKS,I18NCode for 7 Months Analysis Tasks,7 Months Analysis Tasks,Задачи за анализ за 7 месеца,Yes
I18N_7_MONTHS_ANALYSIS_TASKS_DESCRIPTION,I18NCode for 7 Months Analysis Tasks Description,Activate tasks for the 7 month analysis,Активирайте задачи за 7-месечен анализ,Yes
I18N_8_VECTOR_OF_SUCCESS,I18NCode 8 vector of Success,8 Vector of Success,8 Вектор на успеха,Yes
I18N_8_WEEKS,I18NCode for 8 weeks,8 weeks,8 седмици,Yes
I18N_A,I18NCode for A,A,А,Yes
I18N_ABBREVIATED_SIZE,I18NCode for Abbreviated Size,Size,Размер,Yes
I18N_ABBREVIATION,I18NCode for Abbreviation,Abbreviation,Съкращение,Yes
I18N_ABS,I18NCode for ABS shortName,ABS.,ABS.,Yes
I18N_ABSENCE,I18NCode for Absence,Absence,Отсъствие,Yes
I18N_ABSENCE_IS_REQUIRED,I18NCode for Absence is required,Absence is required,Отсъствието е задължително,Yes
I18N_AC,I18NCode for #AC,#AC,#AC,Yes
I18N_AC_NONEWMEMBERS_45_DAYS,I18NCode for Active Chapters with no New Members in the last 45 days,Active Chapters with no New Members in the last 45 days,Активни глави без нови членове през последните 45 дни,Yes
I18N_ACCOUNT_CREATED_SUCCESSFULLY,I18NCode for Account Created Successfully,Account created successfully,Акаунтът е създаден успешно,Yes
I18N_ACTION,I18NCode for Action (Url),Action,Действие,Yes
I18N_ACTIONS,,Actions,Действия,Yes
I18N_ACTIVATION_DATE,I18NCode for task's activation date,Activation Date,Дата на активиране,Yes
I18N_ACTIVE,I18NCode for Active,Active,Активен,Yes
I18N_ACTIVE_CHAPTER,I18NCode for Active Chapter Caption,Active Chapters,Активни глави,Yes
I18N_ACTIVE_CHAPTER_NO_NEW_MEMBER,I18NCode for Active Chapter No New Member,Active Chapter No New Member,Активна глава Няма нов член,Yes
I18N_ACTIVE_CHAPTERS,I18NCode for Active Chapters,Active,Активен,Yes
I18N_ACTIVE_CHAPTERS_IS_REQUIRED,I18NCode for Active chapters is required,Active chapers is required,Необходими са активни chapers,Yes
I18N_ACTIVE_MEMBERS,I18NCode for Active Members,Active Members,Активни членове,Yes
I18N_ACTIVE_MEMBERS_IS_REQUIRED,I18NCode for Active members is required,Active members is required,Необходими са активни членове,Yes
I18N_ACTIVE_MEMBERSHIP,I18NCode for Active Membership,Active Membership,Активно членство,Yes
I18N_ACTIVE_TASKS,I18NCode for Active Tasks,Activate Tasks,Активирайте Задачи,Yes
I18N_ACTIVE_TASKS_DESCRIPTION,I18NCode for Active Tasks Description,Activate tasks in the system,Активиране на задачи в системата,Yes
I18N_ACTIVE_ZERO_TO_ONE,I18NCode for Active Zero To One,Activate Zero-to-Ones,Активирайте Zero-to-Ones,Yes
I18N_ACTIVE_ZERO_TO_ONE_DESCRIPTION,I18NCode for Active Zero To One Description,Activate Zero-to-One's in the system,Активирайте Zero-to-One в системата,Yes
I18N_ACTIVITIES,I18NCode for Activities,Activities,дейности,Yes
I18N_ACTUAL_VS_PREVIOUS,I18NCode for Actual vs Previous,Current vs previous,Текущ срещу предишен,Yes
I18N_AD,I18NCode for AD,AD,AD,Yes
I18N_ADD_A_PROFILE_PICTURE_TO_HELP_WITH_MEMBER_IDENTIFICATION,I18NCode for add a profile picture to help with member identification,add a profile picture to help with member identification,"добавете профилна снимка, за да помогнете при идентифицирането на членовете",Yes
I18N_ADD_AS,I18NCode for Add as,Add as,Добавяне като,Yes
I18N_ADD_BNI_GAME,I18NCode for Bni Game,Add Bni Game,Добавете игра Bni,Yes
I18N_ADD_CODEI18N,I18NCode to add a new I18NCode,Add Code,Добавяне на код,Yes
I18N_ADD_CONTEXT,I18NCode to add a new context,Add Context,Добавяне на контекст,Yes
I18N_ADD_DIRECTOR,I18NCode for Add Director in Users Page,Add Director,Добавяне на директор,Yes
I18N_ADD_GOAL,I18NCode for Add Goal,Add Goal,Добавяне на цел,Yes
I18N_ADD_KPI,I18NCode for Add Kpi,Add KPI,Добавете KPI,Yes
I18N_ADD_LANGUAGE,I18NCode to add a new language,Add Language,Добавете език,Yes
I18N_ADD_MECHANISM,I18NCode for Add Mechanism,Add Mechanism,Добавяне на механизъм,Yes
I18N_ADD_MEMBER_TO_THE_GROUP,I18NCode for Add Member to the group,Add Member to the group,Добавете член към групата,Yes
I18N_ADD_MEMBERS_TO_FORM_THE_TEAM,I18NCode for Add members to form the team,Add members to form the team,"Добавете членове, за да формирате екипа",Yes
I18N_ADD_MODULE,I18NCode to add a new Module,Add Module,Добавяне на модул,Yes
I18N_ADD_NEW_MENU,I18NCode for Add New Menu,Add Menu,Добавяне на меню,Yes
I18N_ADD_NEW_REGISTRY,I18NCode for Add New Registry,Add New Registry,Добавете нов регистър,Yes
I18N_ADD_PROFILE,I18NCode for Add Button in Profiles Page,Add Profile,Добавяне на профил,Yes
I18N_ADD_TEAM,I18NCode for Add Team,Add Team,Добавяне на екип,Yes
I18N_ADDRESS,I18NCode for Address,Address,Адрес,Yes
I18N_ADDRESS_AND_ZIP_CODE,"I18NCode for Address and zip code
",Address and zip code,Адрес и пощенски код,Yes
I18N_ADMIN,I18NCode for admin,Admin,Админ,Yes
I18N_ADVANCED_DASHBOARD,I18NCode for Advanced Dashboard,Advanced Dashboard,Разширено табло за управление,Yes
I18N_ADVANCED_SEARCH,"i18NCode for Advanced search
",Advanced search,Разширено търсене,Yes
I18N_ALERT,I18NCode for Alert,Alert,Предупреждение,Yes
I18N_ALERT_REPORT,I18NCode for Alert Report,Alerts Report,Доклад за сигнали,Yes
I18N_ALERT_TYPE,I18NCode for Alert Type,Alert Type,Тип предупреждение,Yes
I18N_ALERTS_LIST,I18Ncode for Alerts List,Alerts List,Списък с предупреждения,Yes
I18N_ALL,I18NCode for ALL ,All,Всички,Yes
I18N_ALL_CHAPTERS,I18NCode for All Chapters,All Chapters,Всички глави,Yes
I18N_ALL_DDL,I18NCode for All on DDL,All,Всички,Yes
I18N_ALL_MEMBERS_ADDED,I18NCode for All Members Added ,All members have already been added to the team.,Всички членове вече са добавени към екипа.,Yes
I18N_ALL_TRANSLATIONS,I18NCode for all translations label,All Translations,Всички преводи,Yes
I18N_ALLOW_BCC_SUBMISSIONS,I18NCode for Allow BCC Submissions label,Allow sending with Bcc,Разрешете изпращане със Ск,Yes
I18N_ALLOW_EMAIL_SUBMISSIONS,I18NCode for Allow Email Submissions label,Allow email submissions,Разрешаване на изпращания по имейл,Yes
I18N_ALLOW_FOR,I18NCode for Allow For,Allow for,Позволете за,Yes
I18N_ALLOW_USERS_TO_VOTE_ON_MORE_THAN_ONE_OPTION,I18NCode for Allow users to vote on more than one option.,Allow users to vote on more than one option,Позволете на потребителите да гласуват за повече от една опция,Yes
I18N_ALLOWED_NUMBER_OF_FILES_ERROR_MESSAGE,I18NCode for Allowed Number Of Files Error Message,Only up to 2 files may be uploaded!,Могат да се качват само до 2 файла!,Yes
I18N_AM,I18NCode for #AM,#AM,#СЪТРЕМ,Yes
I18N_AMB,I18NCode for AMB,AMB,AMB,Yes
I18N_AMBASSADOR,I18NCode for Ambassador,Ambassador,посланик,Yes
I18N_AMBASSADORS_TOTAL,I18NCode for Ambassadors Total,Ambassadors,посланици,Yes
