Code,Description,Default_Translation (en-en),Target_Translation (lt-lt),Has_Translation
I18N__ADD_OPTION,I18NCode for Add Option,Add option,Pridėti parinktį,Yes
I18N__ALL_USERS_ARE_ALREADY_IN_THE_GROUP,I18NCode for All users are already in the group.,All users are already in the group,Visi vartotojai jau yra grupėje,Yes
I18N__ANSWER_OF_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for answer of Is Reporting2You GDPR compliant,"Since 25 May the RGPD has entered into force and we all have to respect. DEEPEYE, the company of Reporting2You, has implemented all the procedures to guarantee the fulfillment of its obligations, hiring competent entities for this purpose.<br/>
Please watch this video to understand what we have done and the impact on the experience of members and directors.",Nuo gegužės 25 d. įsigaliojo RGPD ir mes visi turime gerbti.,Yes
I18N__ASK_THE_GROUP_OR_MEMBER_SOMETHING,i18NCode for  Ask the group or member something,Ask the member or group something,Paklauskite ko nors nario ar grupės,Yes
I18N__DO_YOU_WANT_TO_LOG_OUT_,I18NCode for  Do you want to log out?,Do you want to logout?,Paklauskite ko nors nario ar grupės,Yes
I18N__MECHANISM_S__AVAILABLE_FOR_IMPLEMENTATION,"I18NCode for 
mechanism(s) available for implementation",Mechanism(s) available for implementation,Galimas įgyvendinimo mechanizmas (-ai).,Yes
I18N__MEMBER_SUCCESSFULLY_REMOVED_FROM_THE_GROUP,I18NCode for Member successfully removed from the group,Member successfuly removed from the group,Narys sėkmingai pašalintas iš grupės,Yes
I18N__NO_NEW_MEMBERS_IN_THE_LAST,I18NCode for No New Members in the Last,No new members in the last,Paskutinį kartą naujų narių nebuvo,Yes
I18N__SEARCH_THE_ENTIRE_REPORTING2YOU_NETWORK,I18NCode for Search the entire reporting2you network,Search the entire reporting2you network,Ieškokite visame reporting2you tinkle,Yes
I18N__SELECT_MORE_THAN_ONE_CONTACT,I18NCode for Select more than one contact,Select more than one contact,Pasirinkite daugiau nei vieną kontaktą,Yes
I18N_1_2_1,1 2 1,1-2-1,1-2-1,Yes
I18N_1_2_1_IS_REQUIRED,I18NCode for 1-2-1 is required,121 is required,Reikalingas 121,Yes
I18N_12_MONTH_AVERAGE,I18NCode for 12 Month average,12 Month average,12 mėnesių vidurkis,Yes
I18N_12_MONTHS,I18NCode for 12 months,12 months,12 mėnesių,Yes
I18N_12_MONTHS_DOTS,I18NCode for 12 months with :,12 months:,12 mėnesių:,Yes
I18N_121,I18NCode for 121,121,121,Yes
I18N_12MONTHS,I18NCode for Year / 12 Months ,12 Months,12 mėnesių,Yes
I18N_15_DAYS,I18NCode for 15 Days,15 days,15 dienų,Yes
I18N_1ST_YEAR_RETENTION,,1st Year Retention,1-ųjų metų išlaikymas,Yes
I18N_3_PLUS_1,Indicate the 3+1 Menu Option,3+1,3+1,Yes
I18N_3_PLUS_1_EVOLUTION,I18NCode for 3 + 1 Evolution,3 + 1 Evolution,3 + 1 Evoliucija,Yes
I18N_3PLUS1LAST_MONTH,I18NCode Title for 3 + 1 - Last Month,3 + 1 - Last Month,3 + 1 – praėjusį mėnesį,Yes
I18N_4_WEEKS,I18NCode for 4 weeks,4 weeks,4 savaites,Yes
I18N_45_DAYS,I18NCode for 45 days,45 days,45 dienos,Yes
I18N_6_MONTHS,I18NCode for 6 months,6 months,6 mėn,Yes
I18N_7_MONTHS_ANALYSIS_TASKS,I18NCode for 7 Months Analysis Tasks,7 Months Analysis Tasks,7 mėnesių analizės užduotys,Yes
I18N_7_MONTHS_ANALYSIS_TASKS_DESCRIPTION,I18NCode for 7 Months Analysis Tasks Description,Activate tasks for the 7 month analysis,Suaktyvinkite 7 mėnesių analizės užduotis,Yes
I18N_8_VECTOR_OF_SUCCESS,I18NCode 8 vector of Success,8 Vector of Success,8 Sėkmės vektorius,Yes
I18N_8_WEEKS,I18NCode for 8 weeks,8 weeks,8 savaites,Yes
I18N_A,I18NCode for A,A,A,Yes
I18N_ABBREVIATED_SIZE,I18NCode for Abbreviated Size,Size,Dydis,Yes
I18N_ABBREVIATION,I18NCode for Abbreviation,Abbreviation,Santrumpa,Yes
I18N_ABS,I18NCode for ABS shortName,ABS.,ABS.,Yes
I18N_ABSENCE,I18NCode for Absence,Absence,Nebuvimas,Yes
I18N_ABSENCE_IS_REQUIRED,I18NCode for Absence is required,Absence is required,Nebuvimas būtinas,Yes
I18N_AC,I18NCode for #AC,#AC,#AC,Yes
I18N_AC_NONEWMEMBERS_45_DAYS,I18NCode for Active Chapters with no New Members in the last 45 days,Active Chapters with no New Members in the last 45 days,Aktyvūs skyriai be naujų narių per pastarąsias 45 dienas,Yes
I18N_ACCOUNT_CREATED_SUCCESSFULLY,I18NCode for Account Created Successfully,Account created successfully,Paskyra sėkmingai sukurta,Yes
I18N_ACTION,I18NCode for Action (Url),Action,Veiksmas,Yes
I18N_ACTIONS,,Actions,Veiksmai,Yes
I18N_ACTIVATION_DATE,I18NCode for task's activation date,Activation Date,Aktyvinimo data,Yes
I18N_ACTIVE,I18NCode for Active,Active,Aktyvus,Yes
I18N_ACTIVE_CHAPTER,I18NCode for Active Chapter Caption,Active Chapters,Aktyvūs skyriai,Yes
I18N_ACTIVE_CHAPTER_NO_NEW_MEMBER,I18NCode for Active Chapter No New Member,Active Chapter No New Member,Aktyvus skyrius Nėra naujo nario,Yes
I18N_ACTIVE_CHAPTERS,I18NCode for Active Chapters,Active,Aktyvus,Yes
I18N_ACTIVE_CHAPTERS_IS_REQUIRED,I18NCode for Active chapters is required,Active chapers is required,Reikalingi aktyvūs prižiūrėtojai,Yes
I18N_ACTIVE_MEMBERS,I18NCode for Active Members,Active Members,Aktyvūs nariai,Yes
I18N_ACTIVE_MEMBERS_IS_REQUIRED,I18NCode for Active members is required,Active members is required,Reikalingi aktyvūs nariai,Yes
I18N_ACTIVE_MEMBERSHIP,I18NCode for Active Membership,Active Membership,Aktyvi narystė,Yes
I18N_ACTIVE_TASKS,I18NCode for Active Tasks,Activate Tasks,Suaktyvinkite Tasks,Yes
I18N_ACTIVE_TASKS_DESCRIPTION,I18NCode for Active Tasks Description,Activate tasks in the system,Suaktyvinkite užduotis sistemoje,Yes
I18N_ACTIVE_ZERO_TO_ONE,I18NCode for Active Zero To One,Activate Zero-to-Ones,Suaktyvinkite „Nulis iki vienetų“.,Yes
I18N_ACTIVE_ZERO_TO_ONE_DESCRIPTION,I18NCode for Active Zero To One Description,Activate Zero-to-One's in the system,Sistemoje suaktyvinkite nulis iki vieno,Yes
I18N_ACTIVITIES,I18NCode for Activities,Activities,Veikla,Yes
I18N_ACTUAL_VS_PREVIOUS,I18NCode for Actual vs Previous,Current vs previous,Dabartinis vs ankstesnis,Yes
I18N_AD,I18NCode for AD,AD,AD,Yes
I18N_ADD_A_PROFILE_PICTURE_TO_HELP_WITH_MEMBER_IDENTIFICATION,I18NCode for add a profile picture to help with member identification,add a profile picture to help with member identification,"pridėkite profilio nuotrauką, kad būtų lengviau identifikuoti narį",Yes
I18N_ADD_AS,I18NCode for Add as,Add as,Pridėti kaip,Yes
I18N_ADD_BNI_GAME,I18NCode for Bni Game,Add Bni Game,Pridėti Bni žaidimą,Yes
I18N_ADD_CODEI18N,I18NCode to add a new I18NCode,Add Code,Pridėti kodą,Yes
I18N_ADD_CONTEXT,I18NCode to add a new context,Add Context,Pridėti kontekstą,Yes
I18N_ADD_DIRECTOR,I18NCode for Add Director in Users Page,Add Director,Pridėti direktorių,Yes
I18N_ADD_GOAL,I18NCode for Add Goal,Add Goal,Pridėti tikslą,Yes
I18N_ADD_KPI,I18NCode for Add Kpi,Add KPI,Pridėti KPI,Yes
I18N_ADD_LANGUAGE,I18NCode to add a new language,Add Language,Pridėti kalbą,Yes
I18N_ADD_MECHANISM,I18NCode for Add Mechanism,Add Mechanism,Pridėti mechanizmą,Yes
I18N_ADD_MEMBER_TO_THE_GROUP,I18NCode for Add Member to the group,Add Member to the group,Pridėti narį prie grupės,Yes
I18N_ADD_MEMBERS_TO_FORM_THE_TEAM,I18NCode for Add members to form the team,Add members to form the team,"Pridėkite narių, kad sudarytumėte komandą",Yes
I18N_ADD_MODULE,I18NCode to add a new Module,Add Module,Pridėti modulį,Yes
I18N_ADD_NEW_MENU,I18NCode for Add New Menu,Add Menu,Pridėti meniu,Yes
I18N_ADD_NEW_REGISTRY,I18NCode for Add New Registry,Add New Registry,Pridėti naują registrą,Yes
I18N_ADD_PROFILE,I18NCode for Add Button in Profiles Page,Add Profile,Pridėti profilį,Yes
I18N_ADD_TEAM,I18NCode for Add Team,Add Team,Pridėti komandą,Yes
I18N_ADDRESS,I18NCode for Address,Address,Adresas,Yes
I18N_ADDRESS_AND_ZIP_CODE,"I18NCode for Address and zip code
",Address and zip code,Adresas ir pašto kodas,Yes
I18N_ADMIN,I18NCode for admin,Admin,Admin,Yes
I18N_ADVANCED_DASHBOARD,I18NCode for Advanced Dashboard,Advanced Dashboard,Išplėstinė prietaisų skydelis,Yes
I18N_ADVANCED_SEARCH,"i18NCode for Advanced search
",Advanced search,Išplėstinė prietaisų skydelis,Yes
I18N_ALERT,I18NCode for Alert,Alert,Įspėjimas,Yes
I18N_ALERT_REPORT,I18NCode for Alert Report,Alerts Report,Perspėjimų ataskaita,Yes
I18N_ALERT_TYPE,I18NCode for Alert Type,Alert Type,Įspėjimo tipas,Yes
I18N_ALERTS_LIST,I18Ncode for Alerts List,Alerts List,Įspėjimų sąrašas,Yes
I18N_ALL,I18NCode for ALL ,All,Visi,Yes
I18N_ALL_CHAPTERS,I18NCode for All Chapters,All Chapters,Visi skyriai,Yes
I18N_ALL_DDL,I18NCode for All on DDL,All,Visi,Yes
I18N_ALL_MEMBERS_ADDED,I18NCode for All Members Added ,All members have already been added to the team.,Visi nariai jau įtraukti į komandą.,Yes
I18N_ALL_TRANSLATIONS,I18NCode for all translations label,All Translations,Visi vertimai,Yes
I18N_ALLOW_BCC_SUBMISSIONS,I18NCode for Allow BCC Submissions label,Allow sending with Bcc,Leisti siųsti su Bcc,Yes
I18N_ALLOW_EMAIL_SUBMISSIONS,I18NCode for Allow Email Submissions label,Allow email submissions,Leisti pateikti el. paštą,Yes
I18N_ALLOW_FOR,I18NCode for Allow For,Allow for,Leisti už,Yes
I18N_ALLOW_USERS_TO_VOTE_ON_MORE_THAN_ONE_OPTION,I18NCode for Allow users to vote on more than one option.,Allow users to vote on more than one option,Leiskite vartotojams balsuoti už daugiau nei vieną parinktį,Yes
I18N_ALLOWED_NUMBER_OF_FILES_ERROR_MESSAGE,I18NCode for Allowed Number Of Files Error Message,Only up to 2 files may be uploaded!,Galima įkelti tik iki 2 failų!,Yes
I18N_AM,I18NCode for #AM,#AM,#AM,Yes
I18N_AMB,I18NCode for AMB,AMB,AMB,Yes
I18N_AMBASSADOR,I18NCode for Ambassador,Ambassador,Ambasadorius,Yes
I18N_AMBASSADORS_TOTAL,I18NCode for Ambassadors Total,Ambassadors,Ambasadoriai,Yes
I18N_AN_ERROR_OCCURRED,I18NCode for An Error Occurred,An Error occurred,Įvyko klaida,Yes
I18N_ANALYTICAL_COOKIES,"I18NCode for Analytical cookies
",Analytical cookies,Analitiniai slapukai,Yes
