Code,Description,Default_Translation (en-en),Target_Translation (lv-lv),Has_Translation
I18N__ADD_OPTION,I18NCode for Add Option,Add option,Pievienot opciju,Yes
I18N__ALL_USERS_ARE_ALREADY_IN_THE_GROUP,I18NCode for All users are already in the group.,All users are already in the group,Visi lietotāji jau ir grupā,Yes
I18N__ANSWER_OF_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for answer of Is Reporting2You GDPR compliant,"Since 25 May the RGPD has entered into force and we all have to respect. DEEPEYE, the company of Reporting2You, has implemented all the procedures to guarantee the fulfillment of its obligations, hiring competent entities for this purpose.<br/>
Please watch this video to understand what we have done and the impact on the experience of members and directors.","Kopš 25. maija RGPD ir stājusies spēkā, un mums visiem tas ir jārespektē.",Yes
I18N__ASK_THE_GROUP_OR_MEMBER_SOMETHING,i18NCode for  Ask the group or member something,Ask the member or group something,Pajautājiet dalībniekam vai grupai kaut ko,Yes
I18N__DO_YOU_WANT_TO_LOG_OUT_,I18NCode for  Do you want to log out?,Do you want to logout?,Vai vēlaties atteikties?,Yes
I18N__MECHANISM_S__AVAILABLE_FOR_IMPLEMENTATION,"I18NCode for 
mechanism(s) available for implementation",Mechanism(s) available for implementation,Ieviešanai pieejamais(-ie) mehānisms(-i).,Yes
I18N__MEMBER_SUCCESSFULLY_REMOVED_FROM_THE_GROUP,I18NCode for Member successfully removed from the group,Member successfuly removed from the group,Dalībnieks veiksmīgi noņemts no grupas,Yes
I18N__NO_NEW_MEMBERS_IN_THE_LAST,I18NCode for No New Members in the Last,No new members in the last,Pēdējā laikā nav jaunu dalībnieku,Yes
I18N__SEARCH_THE_ENTIRE_REPORTING2YOU_NETWORK,I18NCode for Search the entire reporting2you network,Search the entire reporting2you network,Meklējiet visā reporting2you tīklā,Yes
I18N__SELECT_MORE_THAN_ONE_CONTACT,I18NCode for Select more than one contact,Select more than one contact,Atlasiet vairāk nekā vienu kontaktpersonu,Yes
I18N_1_2_1,1 2 1,1-2-1,1-2-1,Yes
I18N_1_2_1_IS_REQUIRED,I18NCode for 1-2-1 is required,121 is required,121 ir nepieciešams,Yes
I18N_12_MONTH_AVERAGE,I18NCode for 12 Month average,12 Month average,Vidēji 12 mēneši,Yes
I18N_12_MONTHS,I18NCode for 12 months,12 months,12 mēneši,Yes
I18N_12_MONTHS_DOTS,I18NCode for 12 months with :,12 months:,12 mēneši:,Yes
I18N_121,I18NCode for 121,121,121,Yes
I18N_12MONTHS,I18NCode for Year / 12 Months ,12 Months,12 mēneši,Yes
I18N_15_DAYS,I18NCode for 15 Days,15 days,15 dienas,Yes
I18N_1ST_YEAR_RETENTION,,1st Year Retention,1. gada saglabāšana,Yes
I18N_3_PLUS_1,Indicate the 3+1 Menu Option,3+1,3+1,Yes
I18N_3_PLUS_1_EVOLUTION,I18NCode for 3 + 1 Evolution,3 + 1 Evolution,3 + 1 Evolūcija,Yes
I18N_3PLUS1LAST_MONTH,I18NCode Title for 3 + 1 - Last Month,3 + 1 - Last Month,3 + 1 — pagājušajā mēnesī,Yes
I18N_4_WEEKS,I18NCode for 4 weeks,4 weeks,4 nedēļas,Yes
I18N_45_DAYS,I18NCode for 45 days,45 days,45 dienas,Yes
I18N_6_MONTHS,I18NCode for 6 months,6 months,6 mēneši,Yes
I18N_7_MONTHS_ANALYSIS_TASKS,I18NCode for 7 Months Analysis Tasks,7 Months Analysis Tasks,7 mēnešu analīzes uzdevumi,Yes
I18N_7_MONTHS_ANALYSIS_TASKS_DESCRIPTION,I18NCode for 7 Months Analysis Tasks Description,Activate tasks for the 7 month analysis,Aktivizējiet uzdevumus 7 mēnešu analīzei,Yes
I18N_8_VECTOR_OF_SUCCESS,I18NCode 8 vector of Success,8 Vector of Success,8 Veiksmes vektors,Yes
I18N_8_WEEKS,I18NCode for 8 weeks,8 weeks,8 nedēļas,Yes
I18N_A,I18NCode for A,A,A,Yes
I18N_ABBREVIATED_SIZE,I18NCode for Abbreviated Size,Size,Izmērs,Yes
