Code,Description,Default_Translation (en-en),Target_Translation (nl-nl),Has_Translation
I18N__ADD_OPTION,I18NCode for Add Option,Add option,Optie toevoegen,Yes
I18N__ALL_USERS_ARE_ALREADY_IN_THE_GROUP,I18NCode for All users are already in the group.,All users are already in the group,Alle gebruikers bevinden zich al in de groep,Yes
I18N__ANSWER_OF_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for answer of Is Reporting2You GDPR compliant,"Since 25 May the RGPD has entered into force and we all have to respect. DEEPEYE, the company of Reporting2You, has implemented all the procedures to guarantee the fulfillment of its obligations, hiring competent entities for this purpose.<br/>
Please watch this video to understand what we have done and the impact on the experience of members and directors.",Sinds 25 mei is de RGPD in werking getreden en die moeten we allemaal respecteren.,Yes
I18N__ASK_THE_GROUP_OR_MEMBER_SOMETHING,i18NCode for  Ask the group or member something,Ask the member or group something,Vraag het lid of de groep iets,Yes
I18N__DO_YOU_WANT_TO_LOG_OUT_,I18NCode for  Do you want to log out?,Do you want to logout?,Wilt u uitloggen?,Yes
I18N__MECHANISM_S__AVAILABLE_FOR_IMPLEMENTATION,"I18NCode for 
mechanism(s) available for implementation",Mechanism(s) available for implementation,Mechanisme(s) beschikbaar voor implementatie,Yes
I18N__MEMBER_SUCCESSFULLY_REMOVED_FROM_THE_GROUP,I18NCode for Member successfully removed from the group,Member successfuly removed from the group,Mechanisme(s) beschikbaar voor implementatie,Yes
I18N__NO_NEW_MEMBERS_IN_THE_LAST,I18NCode for No New Members in the Last,No new members in the last,Geen nieuwe leden in de laatste,Yes
I18N__SEARCH_THE_ENTIRE_REPORTING2YOU_NETWORK,I18NCode for Search the entire reporting2you network,Search the entire reporting2you network,Doorzoek het gehele Reporting2you netwerk,Yes
I18N__SELECT_MORE_THAN_ONE_CONTACT,I18NCode for Select more than one contact,Select more than one contact,Selecteer meer dan één contact,Yes
I18N_1_2_1,1 2 1,1-2-1,1-2-1,Yes
I18N_1_2_1_IS_REQUIRED,I18NCode for 1-2-1 is required,121 is required,121 is vereist,Yes
I18N_12_MONTH_AVERAGE,I18NCode for 12 Month average,12 Month average,Gemiddeld over 12 maanden,Yes
I18N_12_MONTHS,I18NCode for 12 months,12 months,12 maanden,Yes
I18N_12_MONTHS_DOTS,I18NCode for 12 months with :,12 months:,12 maanden:,Yes
I18N_121,I18NCode for 121,121,121,Yes
I18N_12MONTHS,I18NCode for Year / 12 Months ,12 Months,12 maanden,Yes
I18N_15_DAYS,I18NCode for 15 Days,15 days,15 dagen,Yes
I18N_1ST_YEAR_RETENTION,,1st Year Retention,Retentie van het eerste jaar,Yes
I18N_3_PLUS_1,Indicate the 3+1 Menu Option,3+1,3+1,Yes
I18N_3_PLUS_1_EVOLUTION,I18NCode for 3 + 1 Evolution,3 + 1 Evolution,3 + 1 Evolutie,Yes
I18N_3PLUS1LAST_MONTH,I18NCode Title for 3 + 1 - Last Month,3 + 1 - Last Month,3 + 1 - Vorige maand,Yes
I18N_4_WEEKS,I18NCode for 4 weeks,4 weeks,4 weken,Yes
I18N_45_DAYS,I18NCode for 45 days,45 days,45 dagen,Yes
I18N_6_MONTHS,I18NCode for 6 months,6 months,6 maanden,Yes
I18N_7_MONTHS_ANALYSIS_TASKS,I18NCode for 7 Months Analysis Tasks,7 Months Analysis Tasks,Analysetaken van 7 maanden,Yes
