Code,Description,Default_Translation (en-en),Target_Translation (pl-pl),Has_Translation
I18N__ADD_OPTION,I18NCode for Add Option,Add option,Dodaj opcję,Yes
I18N__ALL_USERS_ARE_ALREADY_IN_THE_GROUP,I18NCode for All users are already in the group.,All users are already in the group,Wszyscy użytkownicy są już w grupie,Yes
I18N__ANSWER_OF_IS_REPORTING2YOU_GDPR_COMPLIANT,I18NCode for answer of Is Reporting2You GDPR compliant,"Since 25 May the RGPD has entered into force and we all have to respect. DEEPEYE, the company of Reporting2You, has implemented all the procedures to guarantee the fulfillment of its obligations, hiring competent entities for this purpose.<br/>
Please watch this video to understand what we have done and the impact on the experience of members and directors.",Od 25 maja weszła w życie RGPD i wszyscy musimy ją przestrzegać.,Yes
I18N__ASK_THE_GROUP_OR_MEMBER_SOMETHING,i18NCode for  Ask the group or member something,Ask the member or group something,Zapytaj o coś członka lub grupę,Yes
I18N__DO_YOU_WANT_TO_LOG_OUT_,I18NCode for  Do you want to log out?,Do you want to logout?,Czy chcesz się wylogować?,Yes
I18N__MECHANISM_S__AVAILABLE_FOR_IMPLEMENTATION,"I18NCode for 
mechanism(s) available for implementation",Mechanism(s) available for implementation,Mechanizm(y) dostępny do wdrożenia,Yes
I18N__MEMBER_SUCCESSFULLY_REMOVED_FROM_THE_GROUP,I18NCode for Member successfully removed from the group,Member successfuly removed from the group,Pomyślnie usunięto członka z grupy,Yes
I18N__NO_NEW_MEMBERS_IN_THE_LAST,I18NCode for No New Members in the Last,No new members in the last,Brak nowych członków w ostatnim czasie,Yes
I18N__SEARCH_THE_ENTIRE_REPORTING2YOU_NETWORK,I18NCode for Search the entire reporting2you network,Search the entire reporting2you network,Przeszukaj całą sieć report2you,Yes
I18N__SELECT_MORE_THAN_ONE_CONTACT,I18NCode for Select more than one contact,Select more than one contact,Wybierz więcej niż jeden kontakt,Yes
I18N_1_2_1,1 2 1,1-2-1,1-2-1,Yes
I18N_1_2_1_IS_REQUIRED,I18NCode for 1-2-1 is required,121 is required,Wymagany jest numer 121,Yes
I18N_12_MONTH_AVERAGE,I18NCode for 12 Month average,12 Month average,Średnia 12-miesięczna,Yes
I18N_12_MONTHS,I18NCode for 12 months,12 months,12 miesięcy,Yes
I18N_12_MONTHS_DOTS,I18NCode for 12 months with :,12 months:,12 miesięcy:,Yes
I18N_121,I18NCode for 121,121,121,Yes
I18N_12MONTHS,I18NCode for Year / 12 Months ,12 Months,12 miesięcy,Yes
I18N_15_DAYS,I18NCode for 15 Days,15 days,15 dni,Yes
I18N_1ST_YEAR_RETENTION,,1st Year Retention,Utrzymanie pierwszego roku,Yes
I18N_3_PLUS_1,Indicate the 3+1 Menu Option,3+1,3+1,Yes
I18N_3_PLUS_1_EVOLUTION,I18NCode for 3 + 1 Evolution,3 + 1 Evolution,Ewolucja 3 + 1,Yes
I18N_3PLUS1LAST_MONTH,I18NCode Title for 3 + 1 - Last Month,3 + 1 - Last Month,3 + 1 - Ostatni miesiąc,Yes
I18N_4_WEEKS,I18NCode for 4 weeks,4 weeks,4 tygodnie,Yes
I18N_45_DAYS,I18NCode for 45 days,45 days,45 dni,Yes
I18N_6_MONTHS,I18NCode for 6 months,6 months,6 miesięcy,Yes
I18N_7_MONTHS_ANALYSIS_TASKS,I18NCode for 7 Months Analysis Tasks,7 Months Analysis Tasks,Zadania analityczne na 7 miesięcy,Yes
I18N_7_MONTHS_ANALYSIS_TASKS_DESCRIPTION,I18NCode for 7 Months Analysis Tasks Description,Activate tasks for the 7 month analysis,Aktywuj zadania dla analizy 7-miesięcznej,Yes
I18N_8_VECTOR_OF_SUCCESS,I18NCode 8 vector of Success,8 Vector of Success,8 Wektor sukcesu,Yes
I18N_8_WEEKS,I18NCode for 8 weeks,8 weeks,8 tygodni,Yes
I18N_A,I18NCode for A,A,A,Yes
I18N_ABBREVIATED_SIZE,I18NCode for Abbreviated Size,Size,Rozmiar,Yes
I18N_ABBREVIATION,I18NCode for Abbreviation,Abbreviation,Skrót,Yes
I18N_ABS,I18NCode for ABS shortName,ABS.,ABS.,Yes
I18N_ABSENCE,I18NCode for Absence,Absence,Brak,Yes
I18N_ABSENCE_IS_REQUIRED,I18NCode for Absence is required,Absence is required,Nieobecność jest wymagana,Yes
I18N_AC,I18NCode for #AC,#AC,#AK,Yes
I18N_AC_NONEWMEMBERS_45_DAYS,I18NCode for Active Chapters with no New Members in the last 45 days,Active Chapters with no New Members in the last 45 days,Aktywne rozdziały bez nowych członków w ciągu ostatnich 45 dni,Yes
I18N_ACCOUNT_CREATED_SUCCESSFULLY,I18NCode for Account Created Successfully,Account created successfully,Konto utworzone pomyślnie,Yes
I18N_ACTION,I18NCode for Action (Url),Action,Działanie,Yes
I18N_ACTIONS,,Actions,Działania,Yes
I18N_ACTIVATION_DATE,I18NCode for task's activation date,Activation Date,Data aktywacji,Yes
I18N_ACTIVE,I18NCode for Active,Active,Aktywny,Yes
I18N_ACTIVE_CHAPTER,I18NCode for Active Chapter Caption,Active Chapters,Aktywne rozdziały,Yes
I18N_ACTIVE_CHAPTER_NO_NEW_MEMBER,I18NCode for Active Chapter No New Member,Active Chapter No New Member,Aktywny rozdział nie ma nowego członka,Yes
I18N_ACTIVE_CHAPTERS,I18NCode for Active Chapters,Active,Aktywny,Yes
I18N_ACTIVE_CHAPTERS_IS_REQUIRED,I18NCode for Active chapters is required,Active chapers is required,Wymagani są aktywni opiekunowie,Yes
I18N_ACTIVE_MEMBERS,I18NCode for Active Members,Active Members,Aktyw,Yes
I18N_ACTIVE_MEMBERS_IS_REQUIRED,I18NCode for Active members is required,Active members is required,Wymagani są aktywni członkowie,Yes
I18N_ACTIVE_MEMBERSHIP,I18NCode for Active Membership,Active Membership,Aktywne członkostwo,Yes
I18N_ACTIVE_TASKS,I18NCode for Active Tasks,Activate Tasks,Aktywuj zadania,Yes
I18N_ACTIVE_TASKS_DESCRIPTION,I18NCode for Active Tasks Description,Activate tasks in the system,Aktywuj zadania w systemie,Yes
I18N_ACTIVE_ZERO_TO_ONE,I18NCode for Active Zero To One,Activate Zero-to-Ones,Aktywuj zero-jedynki,Yes
I18N_ACTIVE_ZERO_TO_ONE_DESCRIPTION,I18NCode for Active Zero To One Description,Activate Zero-to-One's in the system,Aktywuj Zero-to-One w systemie,Yes
I18N_ACTIVITIES,I18NCode for Activities,Activities,Działania,Yes
